"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-01,68585,monthly,231940,1.59,0.06,121.65,68585,352477,0.94,0.39,122.5,221106,2.2,0.25,123.67,187760,2.4,-0.37,121.97,203628,0.37,0.01,117.57,,,,,,,,,,,,,,,,,,,294340,4.33,6.22,128.86,6339,227585,1.27,-0.64,121.03,62246,2020-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-02,67463,monthly,230609,1.26,-0.57,120.95,67463,351042,1.04,-0.41,122.0,219734,1.84,-0.62,122.91,187607,2.26,-0.08,121.87,200659,-0.75,-1.46,115.85,,,,,,,,,,,,,,,,,,,282356,-2.44,-4.07,123.61,7152,227473,1.81,-0.05,120.97,60311,2020-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-03,69201,monthly,232684,2.46,0.9,122.04,69201,353711,2.4,0.76,122.93,221427,2.55,0.77,123.85,188734,3.04,0.6,122.6,204144,1.56,1.74,117.87,,,,,,,,,,,,,,,,,,,289997,2.56,2.71,126.95,9457,228922,2.5,0.64,121.74,59744,2020-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-04,28356,monthly,230318,0.69,-1.02,120.8,28356,352980,1.77,-0.21,122.68,219183,0.98,-1.01,122.6,187217,0.99,-0.8,121.61,199179,-1.61,-2.43,115.0,,,,,,,,,,,,,,,,,,,294926,3.37,1.7,129.11,3133,225695,0.35,-1.41,120.02,25223,2020-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-05,36380,monthly,231508,1.07,0.52,121.42,36380,351884,1.49,-0.31,122.3,221063,1.49,0.86,123.65,187513,0.74,0.16,121.81,202515,0.37,1.67,116.93,,,,,,,,,,,,,,,,,,,294472,4.47,-0.15,128.91,2818,227084,0.67,0.62,120.76,33562,2020-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-06,53436,monthly,234703,2.02,1.38,123.1,53436,354822,2.09,0.83,123.32,224209,2.53,1.42,125.41,191724,2.93,2.25,124.54,204095,-0.09,0.78,117.84,,,,,,,,,,,,,,,,,,,283440,1.76,-3.75,124.08,5538,231981,2.2,2.16,123.36,47898,2020-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-07,63981,monthly,236687,1.75,0.85,124.14,63981,359580,2.13,1.34,124.97,225782,2.49,0.7,126.29,192521,2.07,0.42,125.06,206198,-0.26,1.03,119.05,,,,,,,,,,,,,,,,,,,293955,0.54,3.71,128.69,6569,232980,1.96,0.43,123.89,57412,2020-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-08,67744,monthly,238998,2.41,0.98,125.35,67744,364046,2.73,1.24,126.52,228834,3.38,1.35,128.0,194722,2.41,1.14,126.49,205788,0.56,-0.2,118.82,,,,,,,,,,,,,,,,,,,295071,3.55,0.38,129.18,7102,235459,2.36,1.06,125.21,60642,2020-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-09,78108,monthly,241541,3.43,1.06,126.68,78108,368665,4.28,1.27,128.13,230230,4.3,0.61,128.78,196787,3.66,1.06,127.83,208846,0.73,1.49,120.58,,,,,,,,,,,,,,,,,,,295674,2.37,0.2,129.44,7689,238264,3.66,1.19,126.7,70419,2020-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-10,97907,monthly,243575,4.58,0.84,127.75,97907,372931,5.63,1.16,129.61,232383,4.48,0.94,129.98,198997,5.53,1.12,129.27,208547,1.91,-0.14,120.41,,,,,,,,,,,,,,,,,,,293655,1.71,-0.68,128.56,8315,240808,5.07,1.07,128.06,89591,2020-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-11,96254,monthly,246065,6.02,1.02,129.06,96254,376013,6.45,0.83,130.68,234462,5.8,0.89,131.15,201321,6.97,1.17,130.78,211188,4.34,1.27,121.93,,,,,,,,,,,,,,,,,,,292747,5.98,-0.31,128.16,7472,243744,6.22,1.22,129.62,88781,2020-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2020-12,104608,monthly,247983,6.99,0.78,130.06,104608,379431,8.06,0.91,131.87,236485,7.23,0.86,132.28,203387,7.92,1.03,132.12,211424,3.84,0.11,122.07,,,,,,,,,,,,,,,,,,,295910,6.79,1.08,129.54,9158,245537,7.2,0.74,130.57,95449,2020-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-01,78289,monthly,249690,7.65,0.69,130.96,78289,383312,8.75,1.02,133.22,238660,7.94,0.92,133.49,203395,8.33,0.0,132.12,213332,4.77,0.9,123.17,,,,,,,,,,,,,,,,,,,311746,5.91,5.35,136.48,4369,245586,7.91,0.02,130.6,73920,2021-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-02,96081,monthly,249586,8.23,-0.04,130.9,96081,383235,9.17,-0.02,133.19,238733,8.65,0.03,133.53,204542,9.03,0.56,132.87,210953,5.13,-1.12,121.8,,,,,,,,,,,,,,,,,,,308950,9.42,-0.9,135.25,5432,245745,8.03,0.06,130.68,90649,2021-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-03,135666,monthly,253506,8.95,1.57,132.96,135666,388601,9.86,1.4,135.06,242157,9.36,1.43,135.45,207980,10.2,1.68,135.1,214881,5.26,1.86,124.07,,,,,,,,,,,,,,,,,,,318449,9.81,3.07,139.41,8574,249152,8.84,1.39,132.49,127092,2021-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-04,87611,monthly,250210,8.64,-1.3,131.23,87611,386227,9.42,-0.61,134.23,238956,9.02,-1.32,133.66,204689,9.33,-1.58,132.96,210972,5.92,-1.82,121.81,,,,,,,,,,,,,,,,,,,323754,9.77,1.67,141.73,4967,245014,8.56,-1.66,130.29,82644,2021-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2021-05,78518,monthly,251285,8.54,0.43,131.79,78518,386981,9.97,0.2,134.49,240848,8.95,0.79,134.72,205875,9.79,0.58,133.73,210902,4.14,-0.03,121.77,,,,,,,,,,,,,,,,,,,311021,5.62,-3.93,136.16,5005,247421,8.96,0.98,131.57,73513,2021-05-01
